protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
FKBP8_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens GN=FKBP8 PE=1 SV=2,14.81,79.4757,3.5778,NaN,NaN,NaN,NaN,NaN,NaN,5.83,5.1686,0.2327,NaN,NaN,NaN,NaN,NaN,NaN
C27C1_HUMAN,Cytochrome P450 27C1 OS=Homo sapiens GN=CYP27C1 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.39,86.6718,3.7148,NaN,NaN,NaN,23.39,103.7499,4.4468
TACC1_HUMAN,Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens GN=TACC1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.75,30.0535,2.6642
MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1,52.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZFAN1_HUMAN,AN1-type zinc finger protein 1 OS=Homo sapiens GN=ZFAND1 PE=1 SV=1,9.7,13.1091,0.4156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MK04_HUMAN,Mitogen-activated protein kinase 4 OS=Homo sapiens GN=MAPK4 PE=1 SV=2,NaN,NaN,NaN,23.51,3.7692,0.2504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LYSC_HUMAN,Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1,50,216.9369,3.6865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBGP1_HUMAN,Rab GTPase-activating protein 1 OS=Homo sapiens GN=RABGAP1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.65,17.2565,2.1224
TP8L2_HUMAN,Tumor necrosis factor alpha-induced protein 8-like protein 2 OS=Homo sapiens GN=TNFAIP8L2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.59,14.647,0.3028
F120B_HUMAN,Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens GN=FAM120B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.02,62.3963,6.6038
KIF28_HUMAN,Kinesin-like protein KIF28P OS=Homo sapiens GN=KIF28P PE=3 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.03,199.7729,21.8085
CC136_HUMAN,Coiled-coil domain-containing protein 136 OS=Homo sapiens GN=CCDC136 PE=2 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.99,30.2471,4.1045
CKP2L_HUMAN,Cytoskeleton-associated protein 2-like OS=Homo sapiens GN=CKAP2L PE=1 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.42,156.2009,13.1454,NaN,NaN,NaN
ADCK3_HUMAN,Chaperone activity of bc1 complex-like_ mitochondrial OS=Homo sapiens GN=ADCK3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,19.94,21.6561,1.5693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WWP2_HUMAN,NEDD4-like E3 ubiquitin-protein ligase WWP2 OS=Homo sapiens GN=WWP2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.55,2.8082,0.2794,NaN,NaN,NaN,NaN,NaN,NaN
CAND2_HUMAN,Cullin-associated NEDD8-dissociated protein 2 OS=Homo sapiens GN=CAND2 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.22,13.2916,1.8175
ARL17_HUMAN,ADP-ribosylation factor-like protein 17 OS=Homo sapiens GN=ARL17A PE=2 SV=2,9.6,1.045,0.0205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LR75A_HUMAN,Leucine-rich repeat-containing protein 75A OS=Homo sapiens GN=LRRC75A PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.19,10.6763,0.4058
RM51_HUMAN,39S ribosomal protein L51_ mitochondrial OS=Homo sapiens GN=MRPL51 PE=1 SV=1,28.91,33.9806,0.5168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EMC1_HUMAN,ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.93,21.9863,2.4672,NaN,NaN,NaN
GP111_HUMAN,Probable G-protein coupled receptor 111 OS=Homo sapiens GN=GPR111 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.66,13.1275,1.0479
MTM1_HUMAN,Myotubularin OS=Homo sapiens GN=MTM1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.09,12.3713,0.8715
BRAP_HUMAN,BRCA1-associated protein OS=Homo sapiens GN=BRAP PE=1 SV=2,12.16,66.8429,4.5865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNM3B_HUMAN,DNA (cytosine-5)-methyltransferase 3B OS=Homo sapiens GN=DNMT3B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.68,25.8714,2.5141
BFAR_HUMAN,Bifunctional apoptosis regulator OS=Homo sapiens GN=BFAR PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.33,72.6899,3.8791,NaN,NaN,NaN,NaN,NaN,NaN
VATC2_HUMAN,V-type proton ATPase subunit C 2 OS=Homo sapiens GN=ATP6V1C2 PE=2 SV=2,29.98,25.979,1.2682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZAR1L_HUMAN,ZAR1-like protein OS=Homo sapiens GN=ZAR1L PE=2 SV=2,13.4,3.1143,0.1155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBM42_HUMAN,RNA-binding protein 42 OS=Homo sapiens GN=RBM42 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.79,47.5997,2.4051
DOCK3_HUMAN,Dedicator of cytokinesis protein 3 OS=Homo sapiens GN=DOCK3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.15,74.792,17.5878
ZN530_HUMAN,Zinc finger protein 530 OS=Homo sapiens GN=ZNF530 PE=2 SV=2,NaN,NaN,NaN,18.2,14.9163,1.0557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FR1L5_HUMAN,Fer-1-like protein 5 OS=Homo sapiens GN=FER1L5 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.45,6.5366,1.5958,NaN,NaN,NaN,NaN,NaN,NaN
DYH6_HUMAN,Dynein heavy chain 6_ axonemal OS=Homo sapiens GN=DNAH6 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.49,650.7117,312.3256
RHGBA_HUMAN,Rho GTPase-activating protein 11A OS=Homo sapiens GN=ARHGAP11A PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.13,31.9506,3.6727,NaN,NaN,NaN,NaN,NaN,NaN
NR5A2_HUMAN,Nuclear receptor subfamily 5 group A member 2 OS=Homo sapiens GN=NR5A2 PE=1 SV=2,10.91,55.9677,3.4773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RASF2_HUMAN,Ras association domain-containing protein 2 OS=Homo sapiens GN=RASSF2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,22.39,45.4368,1.7248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
USP9Y_HUMAN,Probable ubiquitin carboxyl-terminal hydrolase FAF-Y OS=Homo sapiens GN=USP9Y PE=2 SV=2,13.15,35.5975,10.4855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RPB1C_HUMAN,DNA-directed RNA polymerase II subunit RPB11-b2 OS=Homo sapiens GN=POLR2J3 PE=3 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.04,NaN,NaN
FIBP_HUMAN,Acidic fibroblast growth factor intracellular-binding protein OS=Homo sapiens GN=FIBP PE=1 SV=3,35.16,119.9272,5.0565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HSF2B_HUMAN,Heat shock factor 2-binding protein OS=Homo sapiens GN=HSF2BP PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.99,4.5917,0.1747
TM121_HUMAN,Transmembrane protein 121 OS=Homo sapiens GN=TMEM121 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.42,1.0963,0.0397,NaN,NaN,NaN,NaN,NaN,NaN
IFFO2_HUMAN,Intermediate filament family orphan 2 OS=Homo sapiens GN=IFFO2 PE=2 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.84,0.3234,0.0187
MIEN1_HUMAN,Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1,NaN,NaN,NaN,46.09,29.5583,0.3717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ITPR1_HUMAN,Inositol 1_4_5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14,24.5862,7.8025
ATL3_HUMAN,ADAMTS-like protein 3 OS=Homo sapiens GN=ADAMTSL3 PE=2 SV=4,NaN,NaN,NaN,14.37,2.1678,0.4219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NXPE3_HUMAN,NXPE family member 3 OS=Homo sapiens GN=NXPE3 PE=2 SV=1,15.21,49.4346,3.1849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NR4A2_HUMAN,Nuclear receptor subfamily 4 group A member 2 OS=Homo sapiens GN=NR4A2 PE=1 SV=1,10.87,8.9902,0.6079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AP3M2_HUMAN,AP-3 complex subunit mu-2 OS=Homo sapiens GN=AP3M2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.05,8.2513,0.3895,NaN,NaN,NaN
F195A_HUMAN,Protein FAM195A OS=Homo sapiens GN=FAM195A PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.63,19.6049,0.3518
DNLI4_HUMAN,DNA ligase 4 OS=Homo sapiens GN=LIG4 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.24,106.2317,11.1662,NaN,NaN,NaN
ZMYM2_HUMAN,Zinc finger MYM-type protein 2 OS=Homo sapiens GN=ZMYM2 PE=1 SV=1,10.24,14.6816,2.3271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SYTL3_HUMAN,Synaptotagmin-like protein 3 OS=Homo sapiens GN=SYTL3 PE=2 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.28,2.503,0.1746,NaN,NaN,NaN,NaN,NaN,NaN
TRPM4_HUMAN,Transient receptor potential cation channel subfamily M member 4 OS=Homo sapiens GN=TRPM4 PE=1 SV=1,13.43,51.8317,7.0379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ABCA2_HUMAN,ATP-binding cassette sub-family A member 2 OS=Homo sapiens GN=ABCA2 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.73,25.014,6.8091,NaN,NaN,NaN,NaN,NaN,NaN
EP300_HUMAN,Histone acetyltransferase p300 OS=Homo sapiens GN=EP300 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,200.9418,53.6655
BAAT_HUMAN,Bile acid-CoA:amino acid N-acyltransferase OS=Homo sapiens GN=BAAT PE=1 SV=1,NaN,NaN,NaN,7.66,1.0119,0.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PHKG2_HUMAN,Phosphorylase b kinase gamma catalytic chain_ liver/testis isoform OS=Homo sapiens GN=PHKG2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.21,48.9274,2.2918
WDR44_HUMAN,WD repeat-containing protein 44 OS=Homo sapiens GN=WDR44 PE=1 SV=1,24.64,61.5335,6.2725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DNJB8_HUMAN,DnaJ homolog subfamily B member 8 OS=Homo sapiens GN=DNAJB8 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,34.05,1.4964,0.0386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LIN52_HUMAN,Protein lin-52 homolog OS=Homo sapiens GN=LIN52 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,31.9,15.0519,0.1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SF3B5_HUMAN,Splicing factor 3B subunit 5 OS=Homo sapiens GN=SF3B5 PE=1 SV=1,NaN,NaN,NaN,34.88,58.567,0.6003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MYO7B_HUMAN,Unconventional myosin-VIIb OS=Homo sapiens GN=MYO7B PE=1 SV=2,12.76,118.9778,29.0028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARP10_HUMAN,Actin-related protein 10 OS=Homo sapiens GN=ACTR10 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.03,11.6041,0.544
CP2J2_HUMAN,Cytochrome P450 2J2 OS=Homo sapiens GN=CYP2J2 PE=1 SV=2,NaN,NaN,NaN,29.48,23.0662,1.3354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WFS1_HUMAN,Wolframin OS=Homo sapiens GN=WFS1 PE=1 SV=2,9.66,39.0201,3.9579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PIBF1_HUMAN,Progesterone-induced-blocking factor 1 OS=Homo sapiens GN=PIBF1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.27,70.8372,6.3817
MED29_HUMAN,Mediator of RNA polymerase II transcription subunit 29 OS=Homo sapiens GN=MED29 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,15.1369,0.325
ASAP2_HUMAN,Arf-GAP with SH3 domain_ ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ASAP2 PE=1 SV=3,14.71,118.8095,13.4142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAS1_HUMAN,V-type proton ATPase subunit S1 OS=Homo sapiens GN=ATP6AP1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.04,70.4888,3.6793
DJC10_HUMAN,DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2,14.75,30.24,2.7939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CD151_HUMAN,CD151 antigen OS=Homo sapiens GN=CD151 PE=1 SV=3,11.46,62.0845,1.8098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATGA1_HUMAN,Autophagy-related protein 101 OS=Homo sapiens GN=ATG101 PE=1 SV=1,35.32,71.5802,1.8101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SPT45_HUMAN,Spermatogenesis-associated protein 45 OS=Homo sapiens GN=SPATA45 PE=3 SV=1,21.43,21.6798,0.2474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SRG2B_HUMAN,SLIT-ROBO Rho GTPase-activating protein 2B OS=Homo sapiens GN=SRGAP2B PE=3 SV=1,13.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PCDG5_HUMAN,Protocadherin gamma-A5 OS=Homo sapiens GN=PCDHGA5 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.31,5.7554,0.5835,NaN,NaN,NaN
RBG10_HUMAN,Rab GTPase-activating protein 1-like_ isoform 10 OS=Homo sapiens GN=RABGAP1L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,40.32,23.8634,0.6984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PPR26_HUMAN,Protein phosphatase 1 regulatory subunit 26 OS=Homo sapiens GN=PPP1R26 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,22.91,7.9333,1.0189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C2C2L_HUMAN,C2 domain-containing protein 2-like OS=Homo sapiens GN=C2CD2L PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,15.2558,1.1692
DCNL3_HUMAN,DCN1-like protein 3 OS=Homo sapiens GN=DCUN1D3 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.46,2.4491,0.0854
CHMP7_HUMAN,Charged multivesicular body protein 7 OS=Homo sapiens GN=CHMP7 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.98,16.9681,0.8687,NaN,NaN,NaN
PTMS_HUMAN,Parathymosin OS=Homo sapiens GN=PTMS PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.31,5.6123,0.0647,NaN,NaN,NaN
FOXA3_HUMAN,Hepatocyte nuclear factor 3-gamma OS=Homo sapiens GN=FOXA3 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,20.732,0.7735
JIP3_HUMAN,C-Jun-amino-terminal kinase-interacting protein 3 OS=Homo sapiens GN=MAPK8IP3 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3,38.407,5.7094,NaN,NaN,NaN,NaN,NaN,NaN
ABC3D_HUMAN,DNA dC->dU-editing enzyme APOBEC-3D OS=Homo sapiens GN=APOBEC3D PE=1 SV=1,14.77,180.2582,8.5745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAB4L_HUMAN,Polyadenylate-binding protein 4-like OS=Homo sapiens GN=PABPC4L PE=2 SV=1,24.32,156.7616,6.5969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA2L2_HUMAN,GAS2-like protein 2 OS=Homo sapiens GN=GAS2L2 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.95,21.259,2.0737
NADE_HUMAN,Glutamine-dependent NAD(+) synthetase OS=Homo sapiens GN=NADSYN1 PE=1 SV=3,13.46,45.7949,3.6909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PLBL2_HUMAN,Putative phospholipase B-like 2 OS=Homo sapiens GN=PLBD2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,24.28,11.8079,0.7785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
XRCC1_HUMAN,DNA repair protein XRCC1 OS=Homo sapiens GN=XRCC1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.69,42.5217,2.9688,NaN,NaN,NaN
NSE1_HUMAN,Non-structural maintenance of chromosomes element 1 homolog OS=Homo sapiens GN=NSMCE1 PE=1 SV=5,30.83,26.617,0.8334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RDH14_HUMAN,Retinol dehydrogenase 14 OS=Homo sapiens GN=RDH14 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.77,5.0335,0.1873
SLIK3_HUMAN,SLIT and NTRK-like protein 3 OS=Homo sapiens GN=SLITRK3 PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.81,1.7207,0.1895
CJ035_HUMAN,Uncharacterized protein C10orf35 OS=Homo sapiens GN=C10orf35 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.1,17.0943,0.2263
HUTU_HUMAN,Urocanate hydratase OS=Homo sapiens GN=UROC1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,9.47,2.2,0.1664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GDAP2_HUMAN,Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens GN=GDAP2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,21.13,4.7359,0.2682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TCAL4_HUMAN,Transcription elongation factor A protein-like 4 OS=Homo sapiens GN=TCEAL4 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.63,4.8982,0.1213
F154B_HUMAN,Protein FAM154B OS=Homo sapiens GN=FAM154B PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.8,4.3863,0.204,NaN,NaN,NaN
PGH2_HUMAN,Prostaglandin G/H synthase 2 OS=Homo sapiens GN=PTGS2 PE=1 SV=2,7.62,53.3216,3.7185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COX7C_HUMAN,Cytochrome c oxidase subunit 7C_ mitochondrial OS=Homo sapiens GN=COX7C PE=1 SV=1,49.21,80.7698,0.5898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BT1A1_HUMAN,Butyrophilin subfamily 1 member A1 OS=Homo sapiens GN=BTN1A1 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.55,44.6778,2.6597,NaN,NaN,NaN,NaN,NaN,NaN
EXOC2_HUMAN,Exocyst complex component 2 OS=Homo sapiens GN=EXOC2 PE=1 SV=1,22.08,31.395,3.3012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NRL_HUMAN,Neural retina-specific leucine zipper protein OS=Homo sapiens GN=NRL PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.55,80.2297,2.0949,NaN,NaN,NaN,NaN,NaN,NaN
CLIP3_HUMAN,CAP-Gly domain-containing linker protein 3 OS=Homo sapiens GN=CLIP3 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.16,28.8071,1.7355
UEVLD_HUMAN,Ubiquitin-conjugating enzyme E2 variant 3 OS=Homo sapiens GN=UEVLD PE=1 SV=2,18.05,167.7978,8.8177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TAL2_HUMAN,T-cell acute lymphocytic leukemia protein 2 OS=Homo sapiens GN=TAL2 PE=2 SV=1,NaN,NaN,NaN,8.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
